Rank,Player,Pos,Team,Bye,PosRank,PosTier,Tier,ECR,VBD,Upside,Bust,Risk,Depth,Backfield,Spread,Ranked,Rookie,Availability,Injury
73,Chris Godwin,WR,TB,10,WR33,8,11,77.05,10,29.1,44,some,2,,13.32,yes,,,
74,Tucker Kraft,TE,GB,11,TE6,3,11,77.19,58,45.2,28.8,some,1,,13.97,yes,,,Questionable
75,Trevor Lawrence,QB,JAX,7,QB9,4,11,77.42,23,40.4,27.6,some,1,,13.56,yes,,,
76,Dak Prescott,QB,DAL,14,QB10,3,11,78.06,16,41.1,29.9,some,1,,13.1,yes,,,
77,Brian Thomas,WR,JAX,7,WR34,8,11,78.22,7,29.2,49.8,some,2,,14.88,yes,,,Questionable
78,Rhamondre Stevenson,RB,NE,11,RB28,7,11,78.7,14,17.7,38.3,some,2,COMMITTEE w/ TreVeyon Henderson,9.28,yes,,,
79,DK Metcalf,WR,PIT,9,WR35,8,11,78.77,5,30.8,42.2,some,1,,13.12,yes,,,Questionable
80,Michael Pittman,WR,PIT,9,WR36,8,11,80.74,0,35.7,36.3,some,2,,13.71,yes,,,Questionable
81,Kyle Pitts,TE,ATL,11,TE7,3,11,80.77,50,14.8,16.2,some,1,,9.64,yes,,,
82,Courtland Sutton,WR,DEN,10,WR37,8,12,83.18,0,34.2,32.8,some,2,,14.92,yes,,,
83,Tony Pollard,RB,TEN,9,RB29,7,12,84.36,4,19.4,33.6,some,1,lead w/ Tyjae Spears,9.81,yes,,,
84,Sam LaPorta,TE,DET,6,TE8,3,12,85.04,46,30,46,some,1,,13.94,yes,,,Questionable
85,Josh Downs,WR,IND,13,WR38,8,12,86.72,0,35.7,46.3,some,2,,14.87,yes,,,Questionable
86,Wan'Dale Robinson,WR,TEN,9,WR39,8,12,87.04,0,39,36,some,2,,14.42,yes,,,Questionable
87,Michael Wilson,WR,ARI,14,WR40,8,12,88.19,0,36.2,44.8,wide,2,,16.05,yes,,,
88,Rico Dowdle,RB,PIT,9,RB30,7,12,89.13,0,24.1,32.9,some,2,COMMITTEE w/ Jaylen Warren,12.66,yes,,,
89,Jonathon Brooks,RB,CAR,5,RB31,8,13,92.68,0,36.7,141.3,wide,2,COMMITTEE w/ Chuba Hubbard,24.06,yes,,,
90,RJ Harvey,RB,DEN,10,RB32,8,13,95.83,0,30.8,47.2,wide,2,COMMITTEE w/ J.K. Dobbins + Jonah Coleman,16.45,yes,,,
91,Brock Purdy,QB,SF,8,QB11,4,13,95.84,9,32.8,29.2,some,1,,10.17,yes,,,
92,Stefon Diggs,WR,WAS,7,WR41,8,13,96.15,0,48.2,118.9,high,2,,30.95,yes,,,
93,Quentin Johnston,WR,LAC,7,WR42,8,13,96.65,0,28.7,37.3,some,2,,14.14,yes,,,
94,Jaxson Dart,QB,NYG,8,QB12,4,13,97.19,0,38.2,32.8,some,1,,14.14,yes,,,
95,Travis Kelce,TE,KC,5,TE9,4,13,97.81,43,31.8,60.2,some,1,,14.87,yes,,,
