Rank,Player,Pos,Team,Bye,PosRank,PosTier,Tier,ECR,VBD,Upside,Bust,Risk,Depth,Backfield,Spread,Ranked,Rookie,Availability,Injury
145,Houston Texans,DEF,HOU,8,DEF1,1,19,152.94,55,9.9,22.1,tight,,,5.45,yes,,,
146,Keaton Mitchell,RB,LAC,7,RB47,8,19,153.27,0,51.3,147.7,high,2,handcuff w/ Omarion Hampton + Kimani Vidal,27.42,yes,,,Questionable
147,Zach Charbonnet,RB,SEA,11,RB48,8,19,154.29,0,51.3,120.7,high,2,handcuff w/ Jadarian Price,29.27,yes,,OUT (PUP),PUP
148,Tyrone Tracy,RB,NYG,8,RB49,8,19,154.71,0,37.7,105.3,high,2,handcuff w/ Cam Skattebo,29.71,yes,,,Questionable
149,Cam Ward,QB,TEN,9,QB25,6,19,156.11,0,37.1,112.9,wide,1,,22.7,yes,,,
150,Jonah Coleman,RB,DEN,10,RB50,8,19,157.11,0,35.1,146.9,high,3,COMMITTEE w/ RJ Harvey + J.K. Dobbins,28.96,yes,ROOKIE,,
151,Alvin Kamara,RB,NO,8,RB51,8,20,158.88,0,56.9,133.1,high,2,handcuff w/ Travis Etienne,31.03,yes,,,Questionable
152,Brenton Strange,TE,JAX,7,TE17,5,20,159.09,0,47.1,66.9,wide,1,,23.91,yes,,,
153,Chig Okonkwo,TE,WAS,7,TE18,5,20,159.86,0,47.9,94.1,high,1,,25.84,yes,,,
154,Mike Washington,RB,LV,13,RB52,8,20,160.53,0,71.5,90.5,high,2,handcuff w/ Ashton Jeanty,40.41,yes,ROOKIE,,
155,Isiah Pacheco,RB,DET,6,RB53,8,20,162.73,0,35.7,75.3,wide,2,handcuff w/ Jahmyr Gibbs,22.95,yes,,,Questionable
156,Hunter Henry,TE,NE,11,TE19,5,20,163.19,0,39.2,65.8,wide,1,,21.96,yes,,,
157,Denver Broncos,DEF,DEN,10,DEF2,2,20,163.96,41,15,46,tight,,,7.74,yes,,,
158,Jauan Jennings,WR,MIN,6,WR59,8,20,164.44,0,57.4,117.6,high,3,,31.9,yes,,,
159,Tre Tucker,WR,LV,13,WR60,8,20,165.91,0,49.9,81.1,wide,1,,24.33,yes,,,
160,Jerry Jeudy,WR,CLE,11,WR61,8,20,166.12,0,45.1,104.9,high,1,,29.34,yes,,,
161,Dalton Schultz,TE,HOU,8,TE20,5,20,166.5,0,55.5,42.5,wide,1,,23.69,yes,,,
162,Los Angeles Rams,DEF,LAR,11,DEF3,1,21,168.1,26,19.1,37.9,tight,,,7.68,yes,,,
163,Seattle Seahawks,DEF,SEA,11,DEF4,1,21,168.27,26,17.3,111.7,some,,,12.43,yes,,,
164,Adonai Mitchell,WR,NYJ,13,WR62,9,21,168.37,0,58.4,118.6,high,2,,25.71,yes,,,
165,Bryce Young,QB,CAR,5,QB26,6,21,169.59,0,35.6,111.4,high,1,,26.91,yes,,,
166,Jalen McMillan,WR,TB,10,WR63,8,21,172.1,0,39.1,120.9,high,3,,26.29,yes,,,Questionable
167,Braelon Allen,RB,NYJ,13,RB54,8,21,173.56,0,55.6,77.4,high,2,handcuff w/ Breece Hall,27.08,yes,,,
168,Tank Bigsby,RB,PHI,10,RB55,8,21,174,0,47,69,high,2,handcuff w/ Saquon Barkley,25.38,yes,,,
169,Philadelphia Eagles,DEF,PHI,10,DEF5,2,21,174.46,21,18.5,60.5,some,,,9.21,yes,,,
170,Tre' Harris,WR,LAC,7,WR64,9,22,180.02,0,52,93,high,3,,27.62,yes,,,Questionable
171,Omar Cooper,WR,NYJ,13,WR65,9,22,180.12,0,54.1,131.9,high,3,,38.42,yes,ROOKIE,,
